                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3604,                  2.133,                  3.047,                0.42036,                0.20422,                0.21045,                0.10959,                 1.7811,                 1.5178,                 2.5482,                0.07002,              0.0033311,              0.0033311
                      2,                 1.6036,                 1.4203,                 2.4976,                0.30014,                0.33529,                0.29736,                0.18068,                 1.3155,                 1.1379,                 2.1486,               0.039976,              0.0066204,              0.0066204
                      3,                 1.3815,                 1.2214,                 2.2704,                0.31075,                0.38169,                0.30807,                0.20656,                 1.1376,                0.97937,                 2.0475,              0.0098883,              0.0098658,              0.0098658
                      4,                 1.2444,                 1.0719,                 2.1311,                0.33262,                0.41748,                0.33366,                0.23472,                 1.0387,                 0.9158,                 1.9373,               0.009802,               0.009802,               0.009802
                      5,                 1.1635,                0.97557,                 2.0489,                 0.3449,                 0.4847,                0.39421,                0.27887,                0.99088,                0.83353,                  1.872,               0.009736,               0.009736,               0.009736
                      6,                 1.1155,                0.92028,                 2.0036,                0.45889,                0.49632,                0.43617,                0.31381,                0.94722,                0.79471,                 1.8508,                0.00967,                0.00967,                0.00967
                      7,                 1.0924,                0.88959,                 1.9789,                 0.4637,                0.49828,                0.44482,                0.32363,                0.93685,                0.76593,                 1.8124,               0.009604,               0.009604,               0.009604
                      8,                 1.0674,                0.85822,                 1.9564,                0.48679,                  0.513,                0.46872,                0.33841,                0.92571,                0.73977,                 1.7899,               0.009538,               0.009538,               0.009538
                      9,                 1.0503,                0.83492,                 1.9341,                0.49732,                0.51289,                 0.4963,                0.36236,                0.91301,                0.72317,                 1.7807,               0.009472,               0.009472,               0.009472
                     10,                 1.0383,                0.81545,                  1.916,                0.52518,                0.52005,                0.51017,                0.36586,                0.90548,                0.70297,                 1.7749,               0.009406,               0.009406,               0.009406
                     11,                  1.029,                0.80214,                 1.9112,                0.53612,                0.53298,                0.52303,                0.38445,                0.87065,                0.68288,                 1.7692,                0.00934,                0.00934,                0.00934
                     12,                 1.0164,                0.78779,                 1.9036,                0.55497,                0.53576,                0.52381,                0.38632,                0.86464,                0.67148,                 1.7634,               0.009274,               0.009274,               0.009274
                     13,                 1.0097,                0.77971,                 1.8957,                0.55941,                0.55053,                0.53346,                0.39396,                0.86125,                0.65965,                 1.7455,               0.009208,               0.009208,               0.009208
                     14,                 1.0043,                0.76801,                  1.882,                0.56565,                0.55402,                0.54754,                0.40429,                0.86656,                0.66145,                 1.7396,               0.009142,               0.009142,               0.009142
                     15,                0.99294,                0.75923,                 1.8793,                0.57857,                0.55833,                0.54849,                0.40584,                  0.849,                0.64729,                 1.7391,               0.009076,               0.009076,               0.009076
                     16,                0.99028,                0.75325,                  1.864,                0.57443,                0.56273,                 0.5588,                0.41426,                0.85743,                0.64636,                 1.7236,                0.00901,                0.00901,                0.00901
